V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[049,05/17/2022 09:05 AM, 05/17/2022 09:05 AM, Trouble Shooter is determining repairs required, , 1207331];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[1]=[049,05/17/2022 09:33 AM, 05/17/2022 09:33 AM, The extent of the outage has been determined, , 1207336];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[2]=[063,05/17/2022 09:34 AM, 05/17/2022 09:34 AM, A crew is currently working on the problem, 05/17/2022 01:00 PM, 1207337];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[3]=[065,05/17/2022 09:10 AM, 05/17/2022 09:10 AM, Customer Svc is working this single customer outage, , 1207333];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[4]=[072,05/17/2022 08:20 AM, 05/17/2022 08:20 AM, A crew is currently working on the problem, 05/17/2022 12:00 PM, 1207324];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[5]=[073,05/17/2022 09:31 AM, 05/17/2022 09:31 AM, A crew is currently working on the problem, 05/17/2022 01:00 PM, 1207334];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[6]=[073,05/17/2022 09:31 AM, 05/17/2022 09:31 AM, A crew is currently working on the problem, 05/17/2022 01:00 PM, 1207335];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[7]=[073,05/17/2022 09:39 AM, 05/17/2022 09:39 AM, Trouble Shooter is working on the problem, 05/17/2022 10:30 AM, 1207338];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[8]=[074,05/17/2022 08:29 AM, 05/17/2022 08:29 AM, Waiting for an available crew to perform repairs, , 1207326];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[9]=[084,05/17/2022 08:08 AM, 05/17/2022 08:08 AM, A crew is currently working on the problem, 05/17/2022 01:30 PM, 1207323];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[10]=[084,05/17/2022 09:09 AM, 05/17/2022 09:09 AM, Waiting for an available crew to perform repairs, , 1207332];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[11]=[085,05/17/2022 08:53 AM, 05/17/2022 08:53 AM, Waiting for an available crew to perform repairs, , 1207329];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[12]=[085,05/17/2022 09:09 AM, 05/17/2022 09:09 AM, Waiting for an available crew to perform repairs, , 1207332];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[13]=[099,05/17/2022 09:09 AM, 05/17/2022 09:09 AM, Waiting for an available crew to perform repairs, , 1207332];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[14]=[113,05/17/2022 07:20 AM, 05/17/2022 07:20 AM, Tree Trimming is clearing debris from the area, , 1207321];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
events[15]=[117,05/16/2022 08:59 AM, 05/16/2022 08:59 AM, Tree Trimming is clearing debris from the area, , 1207168];,# of Outages: 14,Customers Affected: 209,2022-05-17T14:43:28Z
