V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[051,11/20/2022 02:21 AM, 11/20/2022 02:21 AM, A crew is currently working on the problem, 11/20/2022 03:00 PM, 1240290];,# of Outages: 2,Customers Affected: 80,2022-11-20T18:25:17Z
events[1]=[052,11/20/2022 02:21 AM, 11/20/2022 02:21 AM, A crew is currently working on the problem, 11/20/2022 03:00 PM, 1240290];,# of Outages: 2,Customers Affected: 80,2022-11-20T18:25:17Z
events[2]=[054,11/20/2022 12:04 PM, 11/20/2022 12:04 PM, Customer Svc is working this single customer outage, , 1240309];,# of Outages: 2,Customers Affected: 80,2022-11-20T18:25:17Z
