V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[017,08/23/2022 08:24 AM, 08/23/2022 08:24 AM, Trouble Shooter is determining repairs required, , 1226417];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[1]=[053,08/23/2022 09:43 AM, 08/23/2022 09:43 AM, A crew is currently working on the problem, 08/23/2022 12:30 PM, 1226427];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[2]=[054,08/23/2022 06:52 AM, 08/23/2022 06:52 AM, A crew is currently working on the problem, 08/23/2022 04:00 PM, 1226411];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[3]=[054,08/23/2022 06:54 AM, 08/23/2022 06:54 AM, A crew is currently working on the problem, 08/23/2022 04:00 PM, 1226413];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[4]=[071,08/23/2022 05:48 AM, 08/23/2022 05:48 AM, Tree Trimming is clearing debris from the area, , 1226410];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[5]=[071,08/23/2022 07:31 AM, 08/23/2022 07:31 AM, Customer Svc is working this single customer outage, , 1226414];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[6]=[072,08/23/2022 09:09 AM, 08/23/2022 09:09 AM, A crew is currently working on the problem, 08/23/2022 11:30 AM, 1226420];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[7]=[074,08/23/2022 09:47 AM, 08/23/2022 09:47 AM, A crew is currently working on the problem, 08/23/2022 12:30 PM, 1226428];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[8]=[084,08/23/2022 08:18 AM, 08/23/2022 08:18 AM, A crew is currently working on the problem, 08/23/2022 12:00 PM, 1226416];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[9]=[084,08/23/2022 09:14 AM, 08/23/2022 09:14 AM, A crew is currently working on the problem, 08/23/2022 12:30 PM, 1226422];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[10]=[086,08/23/2022 03:15 AM, 08/23/2022 03:15 AM, Tree Trimming is clearing debris from the area, 08/23/2022 12:30 PM, 1226405];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[11]=[088,08/23/2022 05:03 AM, 08/23/2022 05:03 AM, A crew is currently working on the problem, 08/23/2022 12:30 PM, 1226408];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[12]=[096,08/22/2022 11:11 PM, 08/22/2022 11:11 PM, A crew is currently working on the problem, 08/23/2022 12:30 PM, 1226394];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[13]=[100,08/23/2022 08:08 AM, 08/23/2022 08:08 AM, Customer Svc is working this single customer outage, , 1226415];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[14]=[101,08/23/2022 08:42 AM, 08/23/2022 08:42 AM, A crew is currently working on the problem, 08/23/2022 10:30 AM, 1226418];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[15]=[102,08/23/2022 09:20 AM, 08/23/2022 09:20 AM, Trouble Shooter is determining repairs required, , 1226424];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
events[16]=[104,08/23/2022 03:09 AM, 08/23/2022 03:09 AM, A crew is currently working on the problem, 08/23/2022 12:30 PM, 1226404];,# of Outages: 17,Customers Affected: 355,2022-08-23T14:53:39Z
