V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[008,11/25/2022 06:21 AM, 11/25/2022 06:21 AM, Waiting for an available crew to perform repairs, , 1240821];,# of Outages: 3,Customers Affected: 3,2022-11-25T14:39:59Z
events[1]=[061,11/25/2022 08:35 AM, 11/25/2022 08:35 AM, Waiting to be analyzed, , 1240825];,# of Outages: 3,Customers Affected: 3,2022-11-25T14:39:59Z
events[2]=[097,11/25/2022 08:32 AM, 11/25/2022 08:32 AM, Waiting to be analyzed, , 1240824];,# of Outages: 3,Customers Affected: 3,2022-11-25T14:39:59Z
