V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[052,09/30/2022 08:51 AM, 09/30/2022 08:51 AM, A crew is currently working on the problem, 09/30/2022 12:30 PM, 1232774];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[1]=[071,09/30/2022 10:01 AM, 09/30/2022 10:01 AM, Customer Svc is working this single customer outage, , 1232785];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[2]=[072,09/29/2022 08:53 PM, 09/29/2022 08:53 PM, Tree Trimming is clearing debris from the area, , 1232753];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[3]=[072,09/30/2022 09:33 AM, 09/30/2022 09:33 AM, Trouble Shooter is determining repairs required, , 1232782];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[4]=[073,09/30/2022 08:08 AM, 09/30/2022 08:08 AM, Trouble Shooter is working on the problem, 09/30/2022 11:00 AM, 1232771];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[5]=[073,09/30/2022 08:52 AM, 09/30/2022 08:52 AM, A crew is currently working on the problem, 09/30/2022 01:30 PM, 1232775];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[6]=[073,09/30/2022 09:52 AM, 09/30/2022 09:52 AM, A crew is currently working on the problem, 09/30/2022 01:30 PM, 1232784];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[7]=[073,09/30/2022 12:55 AM, 09/30/2022 12:55 AM, Trouble Shooter is determining repairs required, , 1232759];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[8]=[076,09/30/2022 09:45 AM, 09/30/2022 09:45 AM, Trouble Shooter is determining repairs required, , 1232783];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[9]=[085,09/30/2022 08:10 AM, 09/30/2022 08:10 AM, Trouble Shooter is determining repairs required, , 1232772];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[10]=[090,09/30/2022 02:35 AM, 09/30/2022 02:35 AM, A crew is currently working on the problem, 09/30/2022 03:00 PM, 1232764];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
events[11]=[099,09/30/2022 10:03 AM, 09/30/2022 10:03 AM, Trouble Shooter is determining repairs required, , 1232786];,# of Outages: 12,Customers Affected: 79,2022-09-30T15:32:19Z
