V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[051,09/14/2022 12:45 AM, 09/14/2022 12:45 AM, Customer Svc is working this single customer outage, , 1229707];,# of Outages: 4,Customers Affected: 19,2022-09-14T06:56:44Z
events[1]=[072,09/13/2022 02:42 PM, 09/13/2022 02:42 PM, Waiting for an available crew to perform repairs, , 1229657];,# of Outages: 4,Customers Affected: 19,2022-09-14T06:56:44Z
events[2]=[072,09/13/2022 10:08 PM, 09/13/2022 10:08 PM, Customer Svc is working this single customer outage, , 1229694];,# of Outages: 4,Customers Affected: 19,2022-09-14T06:56:44Z
events[3]=[077,09/14/2022 12:13 AM, 09/14/2022 12:13 AM, Trouble Shooter is determining repairs required, , 1229698];,# of Outages: 4,Customers Affected: 19,2022-09-14T06:56:44Z
events[4]=[078,09/14/2022 12:13 AM, 09/14/2022 12:13 AM, Trouble Shooter is determining repairs required, , 1229698];,# of Outages: 4,Customers Affected: 19,2022-09-14T06:56:44Z
