V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[052,06/20/2022 10:59 PM, 06/20/2022 10:59 PM, Customer Svc is working this single customer outage, , 1215119];,# of Outages: 3,Customers Affected: 22,2022-06-21T05:53:34Z
events[1]=[062,06/20/2022 11:24 PM, 06/20/2022 11:24 PM, Customer Svc is working this single customer outage, , 1215123];,# of Outages: 3,Customers Affected: 22,2022-06-21T05:53:34Z
events[2]=[086,06/20/2022 11:27 PM, 06/20/2022 11:27 PM, Trouble Shooter is determining repairs required, , 1215124];,# of Outages: 3,Customers Affected: 22,2022-06-21T05:53:34Z
