V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[049,08/09/2022 06:17 PM, 08/09/2022 06:17 PM, A crew is currently working on the problem, 08/10/2022 03:30 PM, 1224586];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[1]=[052,08/10/2022 11:38 AM, 08/10/2022 11:38 AM, Trouble Shooter is determining repairs required, , 1224861];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[2]=[060,08/10/2022 11:39 AM, 08/10/2022 11:39 AM, Trouble Shooter is determining repairs required, , 1224862];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[3]=[073,08/09/2022 08:52 PM, 08/09/2022 08:52 PM, A crew is currently working on the problem, 08/10/2022 02:00 PM, 1224719];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[4]=[074,08/09/2022 09:13 PM, 08/09/2022 09:13 PM, A crew is currently working on the problem, 08/10/2022 03:30 PM, 1224722];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[5]=[074,08/10/2022 09:57 AM, 08/10/2022 09:57 AM, A crew is currently working on the problem, 08/10/2022 03:30 PM, 1224834];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[6]=[074,08/10/2022 11:54 AM, 08/10/2022 11:54 AM, Trouble Shooter is determining repairs required, , 1224866];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[7]=[074,08/10/2022 12:11 PM, 08/10/2022 12:11 PM, Customer Svc is working this single customer outage, , 1224868];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[8]=[076,08/10/2022 01:02 PM, 08/10/2022 01:02 PM, Customer Svc is working this single customer outage, , 1224874];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[9]=[083,08/10/2022 01:25 PM, 08/10/2022 01:25 PM, Waiting to be analyzed, , 1224883];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[10]=[084,08/10/2022 01:15 PM, 08/10/2022 01:15 PM, A crew is currently working on the problem, 08/10/2022 04:00 PM, 1224880];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[11]=[085,08/10/2022 12:38 PM, 08/10/2022 12:38 PM, A crew is currently working on the problem, 08/10/2022 03:00 PM, 1224872];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[12]=[086,08/10/2022 11:27 AM, 08/10/2022 11:27 AM, Waiting for an available crew to perform repairs, , 1224859];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[13]=[087,08/10/2022 01:07 PM, 08/10/2022 01:07 PM, Waiting for an available crew to perform repairs, , 1224876];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[14]=[088,08/10/2022 06:33 AM, 08/10/2022 06:33 AM, Trouble Shooter is determining repairs required, , 1224791];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[15]=[088,08/10/2022 09:53 AM, 08/10/2022 09:53 AM, Trouble Shooter is determining repairs required, , 1224832];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[16]=[088,08/10/2022 10:38 AM, 08/10/2022 10:38 AM, Trouble Shooter is determining repairs required, , 1224852];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[17]=[089,08/10/2022 09:53 AM, 08/10/2022 09:53 AM, Trouble Shooter is determining repairs required, , 1224832];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[18]=[090,08/09/2022 07:21 PM, 08/09/2022 07:21 PM, A crew is currently working on the problem, 08/10/2022 04:30 PM, 1224677];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[19]=[091,08/10/2022 01:10 PM, 08/10/2022 01:10 PM, Trouble Shooter is determining repairs required, , 1224879];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[20]=[091,08/10/2022 01:15 PM, 08/10/2022 01:15 PM, Trouble Shooter is determining repairs required, , 1224882];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[21]=[098,07/31/2022 04:18 PM, 07/31/2022 04:18 PM, Waiting to be analyzed, , 1223032];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[22]=[100,08/10/2022 01:05 PM, 08/10/2022 01:05 PM, Trouble Shooter is working on the problem, 08/10/2022 02:30 PM, 1224875];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[23]=[100,08/10/2022 06:45 AM, 08/10/2022 06:45 AM, A crew is currently working on the problem, 08/10/2022 01:30 PM, 1224794];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[24]=[101,08/10/2022 10:36 AM, 08/10/2022 10:36 AM, Trouble Shooter is determining repairs required, , 1224850];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[25]=[102,08/10/2022 01:10 PM, 08/10/2022 01:10 PM, A crew is currently working on the problem, 08/10/2022 02:30 PM, 1224878];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[26]=[102,08/10/2022 05:14 AM, 08/10/2022 05:14 AM, Customer Svc is working this single customer outage, , 1224767];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[27]=[103,08/09/2022 05:57 PM, 08/09/2022 05:57 PM, A crew is currently working on the problem, 08/10/2022 01:30 PM, 1224483];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[28]=[104,08/10/2022 12:13 PM, 08/10/2022 12:13 PM, Customer Svc is working this single customer outage, , 1224869];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[29]=[106,08/10/2022 01:01 PM, 08/10/2022 01:01 PM, Customer Svc is working this single customer outage, , 1224873];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[30]=[119,08/09/2022 07:09 PM, 08/09/2022 07:09 PM, Waiting for an available crew to perform repairs, 08/10/2022 04:00 PM, 1224671];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[31]=[119,08/09/2022 07:28 PM, 08/09/2022 07:28 PM, Trouble Shooter is determining repairs required, , 1224683];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[32]=[123,08/10/2022 11:21 AM, 08/10/2022 11:21 AM, Waiting for an available crew to perform repairs, , 1224858];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
events[33]=[134,08/10/2022 11:42 AM, 08/10/2022 11:42 AM, Customer Svc is working this single customer outage, , 1224863];,# of Outages: 33,Customers Affected: 340,2022-08-10T18:27:49Z
