V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[049,06/24/2022 02:15 PM, 06/24/2022 02:15 PM, A crew is currently working on the problem, , 1215574];,# of Outages: 6,Customers Affected: 165,2022-06-24T21:32:06Z
events[1]=[058,06/24/2022 04:24 PM, 06/24/2022 04:24 PM, Trouble Shooter is determining repairs required, , 1215579];,# of Outages: 6,Customers Affected: 165,2022-06-24T21:32:06Z
events[2]=[086,06/24/2022 03:57 PM, 06/24/2022 03:57 PM, Customer Svc is working this single customer outage, , 1215578];,# of Outages: 6,Customers Affected: 165,2022-06-24T21:32:06Z
events[3]=[086,06/24/2022 09:38 AM, 06/24/2022 09:38 AM, Tree Trimming is clearing debris from the area, 06/24/2022 07:00 PM, 1215540];,# of Outages: 6,Customers Affected: 165,2022-06-24T21:32:06Z
events[4]=[086,06/24/2022 09:48 AM, 06/24/2022 09:48 AM, Tree Trimming is clearing debris from the area, 06/24/2022 07:00 PM, 1215544];,# of Outages: 6,Customers Affected: 165,2022-06-24T21:32:06Z
events[5]=[089,06/24/2022 01:52 PM, 06/24/2022 01:52 PM, Waiting for an available crew to perform repairs, , 1215570];,# of Outages: 6,Customers Affected: 165,2022-06-24T21:32:06Z
