V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[053,04/23/2022 10:06 PM, 04/23/2022 10:06 PM, Trouble Shooter is determining repairs required, , 1203512];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[1]=[054,04/23/2022 10:06 PM, 04/23/2022 10:06 PM, Trouble Shooter is determining repairs required, , 1203512];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[2]=[063,04/23/2022 10:06 PM, 04/23/2022 10:06 PM, Trouble Shooter is determining repairs required, , 1203512];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[3]=[063,04/23/2022 10:10 PM, 04/23/2022 10:10 PM, Trouble Shooter is determining repairs required, , 1203588];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[4]=[063,04/23/2022 10:51 PM, 04/23/2022 10:51 PM, Waiting to be analyzed, , 1203616];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[5]=[064,04/23/2022 10:06 PM, 04/23/2022 10:06 PM, Trouble Shooter is determining repairs required, , 1203512];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[6]=[064,04/23/2022 10:10 PM, 04/23/2022 10:10 PM, Trouble Shooter is determining repairs required, , 1203588];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[7]=[065,04/23/2022 10:06 PM, 04/23/2022 10:06 PM, Trouble Shooter is determining repairs required, , 1203512];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[8]=[073,04/23/2022 07:04 PM, 04/23/2022 07:04 PM, A crew is currently working on the problem, 04/23/2022 11:30 PM, 1203437];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[9]=[075,04/23/2022 10:06 PM, 04/23/2022 10:06 PM, Trouble Shooter is determining repairs required, , 1203512];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
events[10]=[086,04/23/2022 10:13 PM, 04/23/2022 10:13 PM, Customer Svc is working this single customer outage, , 1203610];,# of Outages: 5,Customers Affected: 5904,2022-04-24T03:57:14Z
