V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[019,11/26/2022 11:51 PM, 11/26/2022 11:51 PM, A crew is currently working on the problem, 11/27/2022 11:30 AM, 1241037];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[1]=[027,11/27/2022 04:53 AM, 11/27/2022 04:53 AM, Waiting for an available crew to perform repairs, , 1241122];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[2]=[030,11/27/2022 01:59 AM, 11/27/2022 01:59 AM, Tree Trimming is clearing debris from the area, , 1241081];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[3]=[031,11/27/2022 01:59 AM, 11/27/2022 01:59 AM, Tree Trimming is clearing debris from the area, , 1241081];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[4]=[050,11/27/2022 01:47 AM, 11/27/2022 01:47 AM, Tree Trimming is clearing debris from the area, , 1241077];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[5]=[051,11/26/2022 08:44 PM, 11/26/2022 08:44 PM, A crew is currently working on the problem, 11/27/2022 09:00 AM, 1240983];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[6]=[051,11/27/2022 08:25 AM, 11/27/2022 08:25 AM, Customer Svc is working this single customer outage, , 1241170];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[7]=[060,11/26/2022 10:44 PM, 11/26/2022 10:44 PM, Waiting to be analyzed, , 1241009];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[8]=[061,11/27/2022 01:47 AM, 11/27/2022 01:47 AM, Tree Trimming is clearing debris from the area, , 1241077];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[9]=[061,11/27/2022 01:59 AM, 11/27/2022 01:59 AM, Tree Trimming is clearing debris from the area, , 1241082];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[10]=[062,11/27/2022 04:43 AM, 11/27/2022 04:43 AM, Trouble Shooter is determining repairs required, , 1241120];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[11]=[062,11/27/2022 07:29 AM, 11/27/2022 07:29 AM, Trouble Shooter is determining repairs required, , 1241152];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[12]=[063,11/27/2022 08:14 AM, 11/27/2022 08:14 AM, Tree Trimming is clearing debris from the area, , 1241169];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[13]=[064,11/27/2022 08:57 AM, 11/27/2022 08:57 AM, Waiting for an available crew to perform repairs, , 1241175];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[14]=[064,11/27/2022 12:29 AM, 11/27/2022 12:29 AM, A crew is currently working on the problem, 11/27/2022 10:30 AM, 1241066];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[15]=[072,11/27/2022 07:18 AM, 11/27/2022 07:18 AM, Trouble Shooter is determining repairs required, , 1241147];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[16]=[072,11/27/2022 08:55 AM, 11/27/2022 08:55 AM, Customer Svc is working this single customer outage, , 1241174];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[17]=[072,11/27/2022 09:00 AM, 11/27/2022 09:00 AM, Customer Svc is working this single customer outage, , 1241176];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[18]=[072,11/27/2022 12:07 AM, 11/27/2022 12:07 AM, Trouble Shooter is determining repairs required, , 1241040];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[19]=[073,11/27/2022 07:03 AM, 11/27/2022 07:03 AM, Trouble Shooter is determining repairs required, , 1241144];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[20]=[074,11/26/2022 10:55 PM, 11/26/2022 10:55 PM, Trouble Shooter is determining repairs required, , 1241010];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[21]=[074,11/26/2022 11:28 PM, 11/26/2022 11:28 PM, Trouble Shooter is determining repairs required, , 1241025];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[22]=[074,11/27/2022 07:36 AM, 11/27/2022 07:36 AM, Trouble Shooter is determining repairs required, , 1241153];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[23]=[083,11/27/2022 07:46 AM, 11/27/2022 07:46 AM, Trouble Shooter is determining repairs required, , 1241155];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[24]=[085,11/27/2022 02:01 AM, 11/27/2022 02:01 AM, Waiting for an available crew to perform repairs, , 1241083];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[25]=[085,11/27/2022 08:13 AM, 11/27/2022 08:13 AM, Waiting to be analyzed, , 1241167];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[26]=[086,11/26/2022 05:03 PM, 11/26/2022 05:03 PM, Trouble Shooter is determining repairs required, , 1240907];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[27]=[087,11/27/2022 05:54 AM, 11/27/2022 05:54 AM, Waiting for an available crew to perform repairs, , 1241130];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[28]=[087,11/27/2022 07:03 AM, 11/27/2022 07:03 AM, Trouble Shooter is determining repairs required, , 1241145];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[29]=[088,11/26/2022 11:30 PM, 11/26/2022 11:30 PM, Trouble Shooter is determining repairs required, , 1241030];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[30]=[100,11/27/2022 08:04 AM, 11/27/2022 08:04 AM, Waiting for an available crew to perform repairs, , 1241166];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[31]=[113,11/27/2022 01:58 AM, 11/27/2022 01:58 AM, Trouble Shooter is determining repairs required, , 1241080];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[32]=[113,11/27/2022 09:07 AM, 11/27/2022 09:07 AM, Waiting to be analyzed, , 1241177];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[33]=[114,11/27/2022 04:36 AM, 11/27/2022 04:36 AM, Trouble Shooter is determining repairs required, , 1241118];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[34]=[118,11/27/2022 07:56 AM, 11/27/2022 07:56 AM, A crew is currently working on the problem, , 1241158];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[35]=[118,11/27/2022 07:59 AM, 11/27/2022 07:59 AM, Waiting for an available crew to perform repairs, , 1241161];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[36]=[130,11/27/2022 04:36 AM, 11/27/2022 04:36 AM, Trouble Shooter is determining repairs required, , 1241118];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
events[37]=[134,11/27/2022 07:56 AM, 11/27/2022 07:56 AM, A crew is currently working on the problem, , 1241158];,# of Outages: 34,Customers Affected: 951,2022-11-27T15:19:34Z
