V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[051,05/04/2022 03:49 PM, 05/04/2022 03:49 PM, Customer Svc is working this single customer outage, , 1205256];,# of Outages: 5,Customers Affected: 5,2022-05-04T21:34:21Z
events[1]=[071,05/04/2022 04:16 PM, 05/04/2022 04:16 PM, The extent of the outage has been determined, , 1205258];,# of Outages: 5,Customers Affected: 5,2022-05-04T21:34:21Z
events[2]=[076,05/04/2022 04:30 PM, 05/04/2022 04:30 PM, Waiting to be analyzed, , 1205260];,# of Outages: 5,Customers Affected: 5,2022-05-04T21:34:21Z
events[3]=[113,05/04/2022 04:16 PM, 05/04/2022 04:16 PM, The extent of the outage has been determined, , 1205259];,# of Outages: 5,Customers Affected: 5,2022-05-04T21:34:21Z
events[4]=[116,05/04/2022 09:02 AM, 05/04/2022 09:02 AM, A crew is currently working on the problem, 05/04/2022 07:30 PM, 1205119];,# of Outages: 5,Customers Affected: 5,2022-05-04T21:34:21Z
