V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[065,07/21/2022 06:22 AM, 07/21/2022 06:22 AM, Customer Svc is working this single customer outage, , 1220674];,# of Outages: 3,Customers Affected: 7,2022-07-21T11:53:38Z
events[1]=[066,07/21/2022 06:48 AM, 07/21/2022 06:48 AM, Waiting to be analyzed, , 1220675];,# of Outages: 3,Customers Affected: 7,2022-07-21T11:53:38Z
events[2]=[097,07/20/2022 03:43 PM, 07/20/2022 03:43 PM, Waiting for an available crew to perform repairs, 07/21/2022 08:30 AM, 1220623];,# of Outages: 3,Customers Affected: 7,2022-07-21T11:53:38Z
