V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[064,06/01/2022 03:02 PM, 06/01/2022 03:02 PM, Trouble Shooter is determining repairs required, , 1210899];,# of Outages: 6,Customers Affected: 25,2022-06-01T23:23:25Z
events[1]=[083,06/01/2022 03:52 PM, 06/01/2022 03:52 PM, Trouble Shooter is determining repairs required, , 1210956];,# of Outages: 6,Customers Affected: 25,2022-06-01T23:23:25Z
events[2]=[085,06/01/2022 05:27 PM, 06/01/2022 05:27 PM, Customer Svc is working this single customer outage, , 1210979];,# of Outages: 6,Customers Affected: 25,2022-06-01T23:23:25Z
events[3]=[085,06/01/2022 05:56 PM, 06/01/2022 05:56 PM, Customer Svc is working this single customer outage, , 1210981];,# of Outages: 6,Customers Affected: 25,2022-06-01T23:23:25Z
events[4]=[112,06/01/2022 11:51 AM, 06/01/2022 11:51 AM, A crew is currently working on the problem, 06/01/2022 08:30 PM, 1210739];,# of Outages: 6,Customers Affected: 25,2022-06-01T23:23:25Z
events[5]=[114,06/01/2022 03:53 PM, 06/01/2022 03:53 PM, A crew is currently working on the problem, 06/01/2022 10:00 PM, 1210957];,# of Outages: 6,Customers Affected: 25,2022-06-01T23:23:25Z
