V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[049,06/29/2022 02:19 AM, 06/29/2022 02:19 AM, Waiting for an available crew to perform repairs, , 1216123];,# of Outages: 4,Customers Affected: 37,2022-06-29T11:19:44Z
events[1]=[050,06/29/2022 02:19 AM, 06/29/2022 02:19 AM, Waiting for an available crew to perform repairs, , 1216123];,# of Outages: 4,Customers Affected: 37,2022-06-29T11:19:44Z
events[2]=[051,06/29/2022 12:23 AM, 06/29/2022 12:23 AM, A crew is currently working on the problem, 06/29/2022 07:00 AM, 1216117];,# of Outages: 4,Customers Affected: 37,2022-06-29T11:19:44Z
events[3]=[073,06/29/2022 06:01 AM, 06/29/2022 06:01 AM, Waiting for an available crew to perform repairs, , 1216127];,# of Outages: 4,Customers Affected: 37,2022-06-29T11:19:44Z
events[4]=[086,06/29/2022 05:53 AM, 06/29/2022 05:53 AM, Customer Svc is working this single customer outage, , 1216126];,# of Outages: 4,Customers Affected: 37,2022-06-29T11:19:44Z
