V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[060,08/24/2022 12:56 PM, 08/24/2022 12:56 PM, Tree Trimming is clearing debris from the area, , 1226578];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[1]=[085,08/24/2022 02:30 PM, 08/24/2022 02:30 PM, Trouble Shooter is determining repairs required, , 1226584];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[2]=[085,08/24/2022 12:36 PM, 08/24/2022 12:36 PM, Trouble Shooter is determining repairs required, , 1226575];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[3]=[087,08/24/2022 12:54 PM, 08/24/2022 12:54 PM, Trouble Shooter is determining repairs required, , 1226577];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[4]=[096,08/24/2022 12:00 PM, 08/24/2022 12:00 PM, Trouble Shooter is determining repairs required, , 1226571];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[5]=[101,08/24/2022 02:50 PM, 08/24/2022 02:50 PM, Customer Svc is working this single customer outage, , 1226592];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[6]=[113,08/24/2022 02:47 PM, 08/24/2022 02:47 PM, Trouble Shooter is determining repairs required, , 1226590];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
events[7]=[114,08/24/2022 02:01 PM, 08/24/2022 02:01 PM, Customer Svc is working this single customer outage, , 1226582];,# of Outages: 8,Customers Affected: 140,2022-08-24T20:23:35Z
