V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[050,07/07/2022 02:16 AM, 07/07/2022 02:16 AM, Customer Svc is working this single customer outage, , 1217373];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[1]=[051,07/07/2022 01:06 AM, 07/07/2022 01:06 AM, Trouble Shooter is determining repairs required, , 1217369];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[2]=[073,07/06/2022 10:45 PM, 07/06/2022 10:45 PM, Waiting for an available crew to perform repairs, , 1217364];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[3]=[073,07/07/2022 02:39 AM, 07/07/2022 02:39 AM, Waiting to be analyzed, , 1217374];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[4]=[074,07/06/2022 10:45 PM, 07/06/2022 10:45 PM, Waiting for an available crew to perform repairs, , 1217364];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[5]=[084,07/06/2022 08:39 PM, 07/06/2022 08:39 PM, Waiting for an available crew to perform repairs, , 1217344];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[6]=[087,07/06/2022 07:38 PM, 07/06/2022 07:38 PM, A crew is currently working on the problem, 07/07/2022 03:00 AM, 1217338];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[7]=[088,07/07/2022 12:08 AM, 07/07/2022 12:08 AM, Trouble Shooter is determining repairs required, , 1217367];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
events[8]=[089,07/07/2022 01:51 AM, 07/07/2022 01:51 AM, Trouble Shooter is determining repairs required, , 1217372];,# of Outages: 8,Customers Affected: 116,2022-07-07T07:43:23Z
