V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[051,11/23/2022 01:32 PM, 11/23/2022 01:32 PM, A crew is currently working on the problem, 11/23/2022 02:00 PM, 1240616];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[1]=[051,11/23/2022 04:31 AM, 11/23/2022 04:31 AM, A crew is currently working on the problem, 11/23/2022 02:00 PM, 1240572];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[2]=[052,11/23/2022 12:13 PM, 11/23/2022 12:13 PM, A crew is currently working on the problem, 11/23/2022 04:00 PM, 1240610];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[3]=[052,11/23/2022 12:59 PM, 11/23/2022 12:59 PM, A crew is currently working on the problem, 11/23/2022 03:30 PM, 1240613];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[4]=[054,11/23/2022 10:49 AM, 11/23/2022 10:49 AM, Trouble Shooter is determining repairs required, , 1240601];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[5]=[097,11/23/2022 12:19 PM, 11/23/2022 12:19 PM, Customer Svc is working this single customer outage, , 1240611];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[6]=[101,11/23/2022 01:18 PM, 11/23/2022 01:18 PM, Customer Svc is working this single customer outage, , 1240614];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
events[7]=[101,11/23/2022 01:27 PM, 11/23/2022 01:27 PM, Customer Svc is working this single customer outage, , 1240615];,# of Outages: 8,Customers Affected: 43,2022-11-23T19:54:14Z
