V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[040,07/15/2022 12:47 PM, 07/15/2022 12:47 PM, A crew is currently working on the problem, 07/15/2022 11:00 PM, 1219030];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[1]=[051,07/15/2022 11:37 AM, 07/15/2022 11:37 AM, A crew is currently working on the problem, 07/15/2022 04:30 PM, 1218966];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[2]=[051,07/15/2022 12:47 PM, 07/15/2022 12:47 PM, A crew is currently working on the problem, 07/15/2022 11:00 PM, 1219030];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[3]=[062,07/15/2022 09:20 AM, 07/15/2022 09:20 AM, A crew is currently working on the problem, 07/15/2022 05:00 PM, 1218951];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[4]=[076,07/15/2022 02:32 PM, 07/15/2022 02:32 PM, Trouble Shooter is determining repairs required, , 1219068];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[5]=[077,07/15/2022 02:32 PM, 07/15/2022 02:32 PM, Trouble Shooter is determining repairs required, , 1219068];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[6]=[077,07/15/2022 03:38 PM, 07/15/2022 03:38 PM, The extent of the outage has been determined, , 1219128];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[7]=[083,07/15/2022 02:47 PM, 07/15/2022 02:47 PM, Trouble Shooter is determining repairs required, , 1219121];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[8]=[083,07/15/2022 03:09 PM, 07/15/2022 03:09 PM, Trouble Shooter is determining repairs required, , 1219125];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[9]=[084,07/15/2022 03:46 PM, 07/15/2022 03:46 PM, The extent of the outage has been determined, , 1219130];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[10]=[086,07/15/2022 01:27 PM, 07/15/2022 01:27 PM, A crew is currently working on the problem, 07/15/2022 06:45 PM, 1219044];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[11]=[101,07/15/2022 11:57 AM, 07/15/2022 11:57 AM, A crew is currently working on the problem, 07/15/2022 05:30 PM, 1218970];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
events[12]=[114,07/15/2022 01:30 PM, 07/15/2022 01:30 PM, Trouble Shooter is determining repairs required, , 1219045];,# of Outages: 11,Customers Affected: 1112,2022-07-15T20:53:36Z
