V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[040,09/05/2022 09:08 PM, 09/05/2022 09:08 PM, A crew is currently working on the problem, 09/06/2022 12:30 PM, 1228452];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[1]=[063,09/06/2022 11:21 AM, 09/06/2022 11:21 AM, The extent of the outage has been determined, , 1228499];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[2]=[073,09/06/2022 08:25 AM, 09/06/2022 08:25 AM, A crew is currently working on the problem, 09/06/2022 02:00 PM, 1228469];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[3]=[074,09/06/2022 10:34 AM, 09/06/2022 10:34 AM, Customer Svc is working this single customer outage, , 1228492];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[4]=[074,09/06/2022 10:49 AM, 09/06/2022 10:49 AM, Customer Svc is working this single customer outage, , 1228493];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[5]=[084,09/06/2022 09:25 AM, 09/06/2022 09:25 AM, A crew is currently working on the problem, 09/06/2022 01:00 PM, 1228482];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[6]=[086,09/06/2022 10:06 AM, 09/06/2022 10:06 AM, A crew is currently working on the problem, 09/06/2022 03:00 PM, 1228489];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[7]=[087,09/06/2022 11:20 AM, 09/06/2022 11:20 AM, A crew is currently working on the problem, 09/06/2022 02:30 PM, 1228498];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[8]=[088,09/06/2022 08:48 AM, 09/06/2022 08:48 AM, A crew is currently working on the problem, 09/06/2022 12:30 PM, 1228474];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[9]=[098,09/06/2022 08:41 AM, 09/06/2022 08:41 AM, A crew is currently working on the problem, 09/06/2022 03:30 PM, 1228472];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[10]=[099,09/06/2022 11:23 AM, 09/06/2022 11:23 AM, Waiting for an available crew to perform repairs, , 1228500];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[11]=[100,09/06/2022 08:10 AM, 09/06/2022 08:10 AM, Tree Trimming is clearing debris from the area, , 1228467];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[12]=[101,09/06/2022 10:00 AM, 09/06/2022 10:00 AM, A crew is currently working on the problem, 09/06/2022 01:30 PM, 1228487];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[13]=[103,09/06/2022 11:25 AM, 09/06/2022 11:25 AM, The extent of the outage has been determined, , 1228501];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
events[14]=[116,09/06/2022 11:19 AM, 09/06/2022 11:19 AM, Customer Svc is working this single customer outage, , 1228497];,# of Outages: 15,Customers Affected: 119,2022-09-06T16:33:13Z
