V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[033,07/25/2022 09:17 AM, 07/25/2022 09:17 AM, Trouble Shooter is determining repairs required, , 1221153];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[1]=[062,07/25/2022 09:16 AM, 07/25/2022 09:16 AM, A crew is currently working on the problem, 07/25/2022 01:00 PM, 1221152];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[2]=[065,07/25/2022 04:00 AM, 07/25/2022 04:00 AM, Tree Trimming is clearing debris from the area, 07/25/2022 02:00 PM, 1221125];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[3]=[074,07/25/2022 09:18 AM, 07/25/2022 09:18 AM, A crew is currently working on the problem, 07/25/2022 01:30 PM, 1221154];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[4]=[083,07/25/2022 08:52 AM, 07/25/2022 08:52 AM, A crew is currently working on the problem, 07/25/2022 01:30 PM, 1221148];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[5]=[084,07/25/2022 08:28 AM, 07/25/2022 08:28 AM, A crew is currently working on the problem, 07/25/2022 12:00 PM, 1221143];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[6]=[084,07/25/2022 08:28 AM, 07/25/2022 08:28 AM, A crew is currently working on the problem, 07/25/2022 12:00 PM, 1221144];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[7]=[091,07/25/2022 07:53 AM, 07/25/2022 07:53 AM, Trouble Shooter is determining repairs required, , 1221136];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[8]=[104,07/25/2022 08:07 AM, 07/25/2022 08:07 AM, A crew is currently working on the problem, 07/25/2022 01:00 PM, 1221141];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[9]=[116,07/25/2022 08:36 AM, 07/25/2022 08:36 AM, Trouble Shooter is determining repairs required, , 1221146];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
events[10]=[118,07/25/2022 10:53 AM, 07/25/2022 10:53 AM, A crew is currently working on the problem, 07/25/2022 03:00 PM, 1221164];,# of Outages: 11,Customers Affected: 52,2022-07-25T17:01:04Z
