V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[072,06/03/2022 02:50 PM, 06/03/2022 02:50 PM, Customer Svc is working this single customer outage, , 1211417];,# of Outages: 5,Customers Affected: 95,2022-06-03T20:22:11Z
events[1]=[073,06/02/2022 04:35 PM, 06/02/2022 04:35 PM, A crew is currently working on the problem, 06/03/2022 04:00 PM, 1211316];,# of Outages: 5,Customers Affected: 95,2022-06-03T20:22:11Z
events[2]=[084,06/03/2022 01:25 PM, 06/03/2022 01:25 PM, Waiting for an available crew to perform repairs, , 1211409];,# of Outages: 5,Customers Affected: 95,2022-06-03T20:22:11Z
events[3]=[087,06/03/2022 01:24 PM, 06/03/2022 01:24 PM, Waiting to be analyzed, , 1211407];,# of Outages: 5,Customers Affected: 95,2022-06-03T20:22:11Z
events[4]=[102,06/03/2022 02:48 PM, 06/03/2022 02:48 PM, Trouble Shooter is determining repairs required, , 1211416];,# of Outages: 5,Customers Affected: 95,2022-06-03T20:22:11Z
