V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[052,06/15/2022 02:49 PM, 06/15/2022 02:49 PM, A crew is currently working on the problem, 06/15/2022 07:00 PM, 1214503];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[1]=[052,06/15/2022 03:05 PM, 06/15/2022 03:05 PM, A crew is currently working on the problem, 06/15/2022 07:00 PM, 1214506];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[2]=[059,06/15/2022 04:57 PM, 06/15/2022 04:57 PM, Customer Svc is working this single customer outage, , 1214521];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[3]=[060,06/15/2022 05:25 PM, 06/15/2022 05:25 PM, Customer Svc is working this single customer outage, , 1214527];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[4]=[061,06/15/2022 05:20 PM, 06/15/2022 05:20 PM, Customer Svc is working this single customer outage, , 1214525];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[5]=[062,06/15/2022 04:52 PM, 06/15/2022 04:52 PM, Trouble Shooter is determining repairs required, , 1214520];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[6]=[063,06/15/2022 12:43 PM, 06/15/2022 12:43 PM, A crew is currently working on the problem, 06/15/2022 08:30 PM, 1214477];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[7]=[071,06/15/2022 01:34 PM, 06/15/2022 01:34 PM, Tree Trimming is clearing debris from the area, 06/15/2022 06:00 PM, 1214481];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[8]=[073,06/15/2022 04:46 PM, 06/15/2022 04:46 PM, Customer Svc is working this single customer outage, , 1214519];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[9]=[085,06/15/2022 04:19 PM, 06/15/2022 04:19 PM, Customer Svc is working this single customer outage, , 1214518];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[10]=[085,06/15/2022 05:49 PM, 06/15/2022 05:49 PM, Waiting to be analyzed, , 1214530];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[11]=[087,06/15/2022 03:37 PM, 06/15/2022 03:37 PM, A crew is currently working on the problem, 06/15/2022 10:00 PM, 1214511];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[12]=[099,06/15/2022 05:23 PM, 06/15/2022 05:23 PM, Customer Svc is working this single customer outage, , 1214526];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[13]=[100,06/15/2022 03:53 PM, 06/15/2022 03:53 PM, Trouble Shooter is determining repairs required, , 1214514];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[14]=[100,06/15/2022 05:15 PM, 06/15/2022 05:15 PM, Customer Svc is working this single customer outage, , 1214523];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[15]=[100,06/15/2022 05:18 PM, 06/15/2022 05:18 PM, Customer Svc is working this single customer outage, , 1214524];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[16]=[101,06/15/2022 05:31 PM, 06/15/2022 05:31 PM, Trouble Shooter is determining repairs required, , 1214529];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[17]=[112,06/15/2022 05:11 PM, 06/15/2022 05:11 PM, Customer Svc is working this single customer outage, , 1214522];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[18]=[118,06/15/2022 02:11 PM, 06/15/2022 02:11 PM, A crew is currently working on the problem, , 1214483];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[19]=[118,06/15/2022 03:51 PM, 06/15/2022 03:51 PM, Trouble Shooter is determining repairs required, , 1214513];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[20]=[119,06/15/2022 04:10 PM, 06/15/2022 04:10 PM, Customer Svc is working this single customer outage, , 1214515];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
events[21]=[135,06/15/2022 05:29 PM, 06/15/2022 05:29 PM, Trouble Shooter is determining repairs required, , 1214528];,# of Outages: 22,Customers Affected: 72,2022-06-15T22:53:39Z
